타임스탬프,1. [개인 목표 수립 및 달성] 나는 목적과 목표의 개념을 설명할 수 있다. ( 이인우 강사 / PSI컨설팅),2. [개인 목표 수립 및 달성] 나는 조직의 목표가 조직의 비전과 정렬되어 있어야 하는 점을 알 수 있다. (이인우 강사 / PSI컨설팅),"3. [개인 목표 수립 및 달성] 나는 만다라트가 무엇인지 알고, 목표를 세분화하여 정리할 수 있다. (이인우 강사 / PSI컨설팅)",1. [전반적 만족도] 교육 과정(신입사원 입문과정)의 내용이 신입 입사자에게 필요한 내용으로 구성되어 있다.,2. [과정 목표] 교육 과정의 목표가 명확하게 제시되었다.,3-1. [과정 시간] 교육 과정의 목표를 달성하기에 교육 시간은 적절하였다.,"3-2. 교육의 목표를 달성하기에 교육 시간이 적절하지 않았다고 생각한다면,
그 이유에 대해 자세히 작성해 주세요.","4. [강사 평가] 강사진들의 능력(전문성, 학습 목표, 전달력)이 우수하였다.",4. [강사 평가] 교육 과정 전반의 내용이 이해하기 쉽게 구성되었다.,"5. [운영자 평가] 인재성장지원팀의 운영(교육 전 안내, 교육 중)이 만족 스럽다.",6. [추천도] 다음 이지가족사 신입 입사자 에게 추천해 주고 싶다.,"1. 교육 과정에서 유익했던 점은 무엇이고, 그 이유는 무엇입니까?","2. 향후 현업에 가장 도움이 될 것 같은 과목은 무엇이고, 그 이유는 무엇입니까?",3. 이번 과정에서 보완해야 할 점이나 향후 반영되기를 희망 하는 과목(내용)이 있다면 자유롭게 기술해 주세요.,※ 소속 법인을 선택해 주세요
2024/03/15 2:40:04 PM GMT+9,5,5,5,5,5,5,,5,5,5,5,,,,이지바이오
2024/03/15 2:40:10 PM GMT+9,5,4,5,5,5,5,,5,5,5,5,,,,팜스토리 한냉
2024/03/15 2:40:17 PM GMT+9,4,4,4,4,4,4,,4,4,4,4,,,,팜스토리도드람B&F
2024/03/15 2:40:29 PM GMT+9,5,5,5,4,4,5,,4,4,5,5,,,,팜스토리도드람B&F
2024/03/15 2:40:32 PM GMT+9,4,4,4,5,5,4,,5,5,5,5,,,뚜벅이를 위한 셔틀 운영,이지홀딩스
2024/03/15 2:40:33 PM GMT+9,5,5,5,5,5,5,,5,5,5,5,,,,마니커
2024/03/15 2:40:34 PM GMT+9,5,5,5,5,5,5,,5,5,5,5,견학,만다르트,영상작업 ㅜ,마니커
2024/03/15 2:40:41 PM GMT+9,5,5,5,5,5,5,,5,5,5,5,,,,옵티팜
2024/03/15 2:40:47 PM GMT+9,5,5,5,5,5,5,,5,5,5,5,신입사원들에게 어려운 스피킹능력을 키울 수있어서 좋았다,스피킹과목,,마니커F&G
2024/03/15 2:40:53 PM GMT+9,5,5,5,5,5,5,,5,5,5,5,전부 유익했습니다,비즈니스 스피치,완벽,마니커
2024/03/15 2:41:08 PM GMT+9,5,5,5,5,5,5,없다,5,5,5,5,만다라트 활동을 통해 협동심도 기르고 앞으로 직장생활에 도움이 될거같습니다.,,없습니다,웰피그
2024/03/15 2:41:21 PM GMT+9,5,5,5,5,5,5,,5,5,5,5,가족사 업무 이해,이기가족 사료 및 양돈 산업의 이해,,우리손F&G
2024/03/15 2:41:30 PM GMT+9,5,5,5,5,5,5,,5,5,5,5,신입사원으로써의 마음가짐을 다시한번 되새기는 기회가되어 너무좋았습니다.,"MBTI 입니다.
상사. 동료. 앞으로 들어올 후배분들에 대한 이해와 배려가 가능하도록 발전한것같습니다",없음. ,정다운
2024/03/15 2:41:31 PM GMT+9,5,5,5,5,5,5,,5,5,5,5,가족사 분들의 하는일 등등 알게되어서 좋음,스피치교육 말하는 센스나 오해가 없게 말하는 방법을 배워서,,팜스토리도드람B&F
2024/03/15 2:41:41 PM GMT+9,5,5,5,5,5,5,,5,5,5,5,신입사원에게 업무적으로나 멘탈적으로 도움이 되는 활동들이 많았습니다.,"개인 목표 수립, 업무적으로 목표를 세울 수 있음",,옵티팜
2024/03/15 2:41:52 PM GMT+9,5,5,5,5,5,5,,4,5,5,4,스피치나 정말 실제업무에서 활용할수있는 부분으로 교육을 진행해주셔서 너무 좋앗다.,스피치 그리고 mnti 로 상호작용과 업무능력이 좋아질수맀을거같다.,,마니커
2024/03/15 2:41:53 PM GMT+9,4,4,4,4,4,4,,4,4,4,5,이지가족 사업에 대하여 알아 볼 수 있어서 좋았다,mbti,휴식시간이 좀 더 있으면 좋을것 같습니다,마니커
2024/03/15 2:42:26 PM GMT+9,5,5,5,5,5,5,,5,5,5,5,"만다라트 작성, 목표의 구체화를 할 수 있는 도구를 알게된 점이 유익했습니다.","견학, 다른 가족사의 업무에대해 알게됨",발표 준비를 하는 과정에서 트러블이 생기는 경우도 있는것 같습니다. 준비할 시간을 넉넉히 주셨으면 더 좋았을 것 같습니다.,마니커
2024/03/15 2:42:29 PM GMT+9,5,5,5,5,5,5,좋았습니다,5,5,5,5,"서로 자연스럽게 친해질 수 있는 기회가 많아
적극적인 교육 참여가 가능했습니다",자신감을 심어주는게 앞으로의 인생에 크게 도움이 될 것 같습니다,없습니다,팜스토리도드람B&F
2024/03/15 2:42:33 PM GMT+9,5,5,5,5,5,5,,5,5,5,5,스피치 스킬 더욱 효과적인 소통 방법에 대해 배울수 있었음,mbti,,마니커
2024/03/15 2:42:37 PM GMT+9,5,5,5,5,5,5,,5,5,5,5,만다라트가 유익했습니다. 자신의 목표설정을 쉽게 배워서 유익했습니다.,전체 과목이 다 도움될 거 같습니다. 다 좋았습니다,아주 좋았습니다.,마니커
2024/03/15 2:43:10 PM GMT+9,3,4,5,5,5,5,중간 쉬는시간 10분은 너무 짧았습니다,5,5,5,5,"팀활동을 수행했던 점 , 동기들과 협동심을 기를 수 있었습니다",이지가족사료및 양돈산업의 이해/ 양돈 기업에 대해 상세히 알수있어서 현업으로 돌아가면 잘 이해할 수 있을것같았습니다,없습니다,우리손F&G
